Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured 
Stage V Repair & leftover work by manual welding Top Side,UF0400,Variant 1,2021-07-21 15:31:00,2021-07-21 21:01:00,['Underframe frame work'],['Underframe frame work'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 4,2021-07-21 17:26:00,2021-07-21 21:05:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 1,2021-07-21 18:08:00,2021-07-21 21:08:00,"['C', 'D']",['E'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 4,2021-07-21 20:47:00,2021-07-21 21:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 4,2021-07-21 21:30:00,2021-07-21 21:31:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 1,2021-07-21 18:38:00,2021-07-21 21:48:00,['C'],['C'],0
Stage II Manual JIG 9.2,RF0120,Variant 4,2021-07-21 19:34:00,2021-07-21 22:10:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 4,2021-07-21 19:07:00,2021-07-21 22:53:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,Variant 1,2021-07-21 16:45:00,2021-07-21 23:15:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 4,2021-07-21 23:08:00,2021-07-21 23:20:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 4,2021-07-21 21:46:00,2021-07-21 23:21:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,Variant 1,2021-07-21 15:12:00,2021-07-21 23:25:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage I Machine- B&C machine,RF0110,Variant 4,2021-07-21 19:34:00,2021-07-21 23:28:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 1,2021-07-21 21:23:00,2021-07-21 23:31:00,['E'],['Roof Complete'],0
Stage III Manual Repair stand,EW0130,Variant 4,2021-07-21 23:35:00,2021-07-21 23:37:00,['Output LHB END Wall'],['End wall Complete'],0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 4,2021-07-21 20:06:00,2021-07-21 23:38:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-II Robotic Spot Welding,SW0120,Variant 4,2021-07-21 23:53:00,2021-07-22 00:19:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,Variant 4,2021-07-21 20:53:00,2021-07-22 00:32:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 00:34:00,2021-07-22 00:35:00,['Supporting Members'],['Supporting Members'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 1,2021-07-21 20:19:00,2021-07-22 00:42:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 1,2021-07-21 20:19:00,2021-07-22 00:42:00,['Underframe frame work'],['Underframe frame work'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 00:50:00,2021-07-22 00:51:00,['Supporting Members'],['Supporting Members'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 4,2021-07-22 00:34:00,2021-07-22 01:02:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 1,2021-07-21 22:03:00,2021-07-22 01:03:00,"['C', 'D']",['E'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 01:06:00,2021-07-22 01:07:00,['Supporting Members'],['Supporting Members'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 4,2021-07-22 01:17:00,2021-07-22 01:18:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 01:22:00,2021-07-22 01:23:00,['Supporting Members'],['Supporting Members'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 4,2021-07-21 22:25:00,2021-07-22 01:27:00,['C'],['C'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 01:38:00,2021-07-22 01:39:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 01:54:00,2021-07-22 01:55:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 02:10:00,2021-07-22 02:11:00,['Supporting Members'],['Supporting Members'],0
Stage II Manual JIG 9.2,RF0120,Variant 4,2021-07-21 23:43:00,2021-07-22 02:19:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 02:26:00,2021-07-22 02:27:00,['Supporting Members'],['Supporting Members'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,Variant 1,2021-07-21 19:40:00,2021-07-22 02:37:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,Variant 1,2021-07-21 18:40:00,2021-07-22 02:40:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 02:42:00,2021-07-22 02:43:00,['Supporting Members'],['Supporting Members'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,Variant 1,2021-07-21 19:45:00,2021-07-22 02:45:00,['Trough Sheets'],['Trough Sheets'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,Variant 1,2021-07-21 21:16:00,2021-07-22 02:46:00,['Underframe frame work'],['Underframe frame work'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,Variant 1,2021-07-22 02:52:00,2021-07-22 02:53:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 4,2021-07-21 23:08:00,2021-07-22 02:54:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 02:58:00,2021-07-22 02:59:00,['Supporting Members'],['Supporting Members'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 4,2021-07-22 01:33:00,2021-07-22 03:08:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 03:14:00,2021-07-22 03:15:00,['Supporting Members'],['Supporting Members'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 4,2021-07-22 03:09:00,2021-07-22 03:21:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 1,2021-07-22 01:18:00,2021-07-22 03:26:00,['E'],['Roof Complete'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 03:30:00,2021-07-22 03:31:00,['Supporting Members'],['Supporting Members'],0
Stage I Machine- B&C machine,RF0110,Variant 4,2021-07-21 23:43:00,2021-07-22 03:37:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage III Manual Repair stand,EW0130,Variant 4,2021-07-22 03:36:00,2021-07-22 03:38:00,['Output LHB END Wall'],['End wall Complete'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 03:46:00,2021-07-22 03:47:00,['Supporting Members'],['Supporting Members'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,Variant 1,2021-07-21 23:40:00,2021-07-22 03:53:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 2,2021-07-22 00:34:00,2021-07-22 03:58:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-22 00:34:00,2021-07-22 03:59:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-22 00:34:00,2021-07-22 03:59:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 04:02:00,2021-07-22 04:03:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 04:18:00,2021-07-22 04:19:00,['Supporting Members'],['Supporting Members'],0
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-22 04:14:00,2021-07-22 04:35:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 04:34:00,2021-07-22 04:35:00,['Supporting Members'],['Supporting Members'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 4,2021-07-22 01:42:00,2021-07-22 04:48:00,"['C', 'D']",['E'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 04:50:00,2021-07-22 04:51:00,['Supporting Members'],['Supporting Members'],0
Stage-II Final Repair & Leakage testing,SH0120,Variant 1,2021-07-22 02:55:00,2021-07-22 04:55:00,['Shell Assembly'],['Coach'],1
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 05:06:00,2021-07-22 05:07:00,['Supporting Members'],['Supporting Members'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-22 04:50:00,2021-07-22 05:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 1,2021-07-22 00:57:00,2021-07-22 05:20:00,['Underframe frame work'],['Underframe frame work'],1
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 1,2021-07-22 00:57:00,2021-07-22 05:20:00,['Underframe frame work'],['Underframe frame work'],1
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 05:22:00,2021-07-22 05:23:00,['Supporting Members'],['Supporting Members'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-22 05:30:00,2021-07-22 05:31:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 4,2021-07-22 02:34:00,2021-07-22 05:36:00,['C'],['C'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 2,2021-07-22 05:38:00,2021-07-22 05:39:00,['Supporting Members'],['Supporting Members'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,Variant 1,2021-07-21 23:30:00,2021-07-22 06:00:00,['Underframe Welding Parts'],['Underframe Welding Parts'],1
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-22 03:09:00,2021-07-22 06:28:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage II Manual JIG 9.2,RF0120,Variant 4,2021-07-22 03:52:00,2021-07-22 06:28:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-22 03:52:00,2021-07-22 06:52:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 2,2021-07-22 06:43:00,2021-07-22 07:00:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,Variant 2,2021-07-22 07:15:00,2021-07-22 07:17:00,['Output LHB END Wall'],['End wall Complete'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 2,2021-07-22 05:46:00,2021-07-22 07:23:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 2,2021-07-22 04:13:00,2021-07-22 07:28:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 4,2021-07-22 05:03:00,2021-07-22 07:31:00,['E'],['Roof Complete'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 2,2021-07-22 04:13:00,2021-07-22 07:37:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-22 04:14:00,2021-07-22 07:39:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-22 04:14:00,2021-07-22 07:39:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,Variant 1,2021-07-21 23:40:00,2021-07-22 07:53:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],1
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-22 07:54:00,2021-07-22 08:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,Variant 1,2021-07-22 03:01:00,2021-07-22 08:31:00,['Underframe frame work'],['Underframe frame work'],1
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-22 08:30:00,2021-07-22 08:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 4,2021-07-22 05:51:00,2021-07-22 08:57:00,"['C', 'D']",['E'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-22 09:10:00,2021-07-22 09:11:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 4,2021-07-22 06:43:00,2021-07-22 09:45:00,['C'],['C'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 4,2021-07-22 05:35:00,2021-07-22 09:49:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 1,2021-07-22 05:35:00,2021-07-22 09:58:00,['Underframe frame work'],['Underframe frame work'],1
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,Variant 1,2021-07-22 03:00:00,2021-07-22 10:00:00,['Trough Sheets'],['Trough Sheets'],1
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-22 06:43:00,2021-07-22 10:02:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-22 07:07:00,2021-07-22 10:07:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 2,2021-07-22 10:17:00,2021-07-22 10:34:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage II Manual JIG 9.2,RF0120,Variant 2,2021-07-22 07:07:00,2021-07-22 10:39:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage III Manual Repair stand,EW0130,Variant 2,2021-07-22 10:49:00,2021-07-22 10:51:00,['Output LHB END Wall'],['End wall Complete'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 2,2021-07-22 09:26:00,2021-07-22 11:03:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,Variant 1,2021-07-22 04:08:00,2021-07-22 11:05:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],1
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 2,2021-07-22 07:52:00,2021-07-22 11:07:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,Variant 1,2021-07-22 03:08:00,2021-07-22 11:08:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],1
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 2,2021-07-22 07:52:00,2021-07-22 11:16:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-22 07:54:00,2021-07-22 11:19:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-22 07:54:00,2021-07-22 11:19:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,Variant 1,2021-07-22 11:20:00,2021-07-22 11:21:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],1
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 4,2021-07-22 09:12:00,2021-07-22 11:40:00,['E'],['Roof Complete'],0
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-22 11:34:00,2021-07-22 11:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,Variant 1,2021-07-22 08:08:00,2021-07-22 12:21:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],1
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-22 12:10:00,2021-07-22 12:35:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,Variant 1,2021-07-22 06:15:00,2021-07-22 12:45:00,['Underframe Welding Parts'],['Underframe Welding Parts'],1
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-22 12:50:00,2021-07-22 12:51:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 4,2021-07-22 10:00:00,2021-07-22 13:06:00,"['C', 'D']",['E'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-22 10:22:00,2021-07-22 13:22:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-II Final Repair & Leakage testing,SH0120,Variant 1,2021-07-22 11:23:00,2021-07-22 13:23:00,['Shell Assembly'],['Coach'],2
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-22 10:17:00,2021-07-22 13:36:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 2,2021-07-22 10:54:00,2021-07-22 13:51:00,['C'],['C'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 2,2021-07-22 13:51:00,2021-07-22 14:08:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,Variant 1,2021-07-22 08:46:00,2021-07-22 14:16:00,['Underframe frame work'],['Underframe frame work'],2
Stage III Manual Repair stand,EW0130,Variant 2,2021-07-22 14:23:00,2021-07-22 14:25:00,['Output LHB END Wall'],['End wall Complete'],0
Stage II Manual JIG 9.2,RF0120,Variant 2,2021-07-22 10:54:00,2021-07-22 14:26:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 2,2021-07-22 13:06:00,2021-07-22 14:43:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 2,2021-07-22 11:31:00,2021-07-22 14:46:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 4,2021-07-22 10:13:00,2021-07-22 14:52:00,['Underframe frame work'],['Underframe frame work'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 2,2021-07-22 11:31:00,2021-07-22 14:55:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-22 11:34:00,2021-07-22 14:59:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-22 11:34:00,2021-07-22 14:59:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 2,2021-07-22 10:04:00,2021-07-22 15:13:00,['Underframe frame work'],['Underframe frame work'],0
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-22 15:14:00,2021-07-22 15:35:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 4,2021-07-22 13:21:00,2021-07-22 15:49:00,['E'],['Roof Complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-22 15:50:00,2021-07-22 16:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,Variant 1,2021-07-22 08:08:00,2021-07-22 16:21:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],2
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-22 16:30:00,2021-07-22 16:31:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-22 13:37:00,2021-07-22 16:37:00,['Roof sheeting complete'],['Roof sheeting complete'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-22 13:51:00,2021-07-22 17:10:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,Variant 1,2021-07-22 10:15:00,2021-07-22 17:15:00,['Trough Sheets'],['Trough Sheets'],2
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 2,2021-07-22 14:06:00,2021-07-22 17:32:00,"['C', 'D']",['E'],0
